Unnamed: 0,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
0,BDFDB,AK,2015,21.0,Alaska,35.0278035998431,16.0,3345612.0
1,BDPRP,AK,2015,4.0,Alaska,35.0278035998431,16.0,3345612.0
2,BFFDB,AK,2015,21.0,Alaska,35.0278035998431,16.0,3345612.0
3,BFPRP,AK,2015,4.0,Alaska,35.0278035998431,16.0,3345612.0
4,CLPRB,AK,2015,17747.0,Alaska,35.0278035998431,16.0,3345612.0
5,CLPRK,AK,2015,15.073,Alaska,35.0278035998431,16.0,3345612.0
6,CLPRP,AK,2015,1177.0,Alaska,35.0278035998431,16.0,3345612.0
7,COPRK,AK,2015,5.717,Alaska,35.0278035998431,16.0,3345612.0
8,EMFDB,AK,2015,0.0,Alaska,35.0278035998431,16.0,3345612.0
9,ENPRP,AK,2015,0.0,Alaska,35.0278035998431,16.0,3345612.0
10,GETCB,AK,2015,186.0,Alaska,35.0278035998431,16.0,3345612.0
11,HYTCB,AK,2015,14621.0,Alaska,35.0278035998431,16.0,3345612.0
12,NCPRB,AK,2015,16298.0,Alaska,35.0278035998431,16.0,3345612.0
13,NGMPB,AK,2015,380887.0,Alaska,35.0278035998431,16.0,3345612.0
14,NGMPK,AK,2015,1.108,Alaska,35.0278035998431,16.0,3345612.0
15,NGMPP,AK,2015,343625.0,Alaska,35.0278035998431,16.0,3345612.0
16,NUETB,AK,2015,0.0,Alaska,35.0278035998431,16.0,3345612.0
17,PAPRB,AK,2015,1007501.0,Alaska,35.0278035998431,16.0,3345612.0
18,PAPRP,AK,2015,176229.0,Alaska,35.0278035998431,16.0,3345612.0
19,REPRB,AK,2015,23807.0,Alaska,35.0278035998431,16.0,3345612.0
20,SOTCB,AK,2015,3.0,Alaska,35.0278035998431,16.0,3345612.0
21,TEPRB,AK,2015,1429942.0,Alaska,35.0278035998431,16.0,3345612.0
22,TETCB,AK,2015,614242.0,Alaska,35.0278035998431,16.0,3345612.0
23,WDEXB,AK,2015,0.0,Alaska,35.0278035998431,16.0,3345612.0
24,WDPRB,AK,2015,6865.0,Alaska,35.0278035998431,16.0,3345612.0
25,WDTCB,AK,2015,6865.0,Alaska,35.0278035998431,16.0,3345612.0
26,WSTCB,AK,2015,622.0,Alaska,35.0278035998431,16.0,3345612.0
27,WWPRB,AK,2015,7488.0,Alaska,35.0278035998431,16.0,3345612.0
28,WYTCB,AK,2015,1488.0,Alaska,35.0278035998431,16.0,3345612.0
29,BDFDB,AL,2015,1933.0,Alabama,119.2008892622124,164.0,1864412.0
30,BDPRP,AL,2015,356.0,Alabama,119.2008892622124,164.0,1864412.0
31,BFFDB,AL,2015,1933.0,Alabama,119.2008892622124,164.0,1864412.0
32,BFPRP,AL,2015,356.0,Alabama,119.2008892622124,164.0,1864412.0
33,CLPRB,AL,2015,331420.0,Alabama,119.2008892622124,164.0,1864412.0
34,CLPRK,AL,2015,25.122,Alabama,119.2008892622124,164.0,1864412.0
35,CLPRP,AL,2015,13193.0,Alabama,119.2008892622124,164.0,1864412.0
36,COPRK,AL,2015,5.717,Alabama,119.2008892622124,164.0,1864412.0
37,EMFDB,AL,2015,0.0,Alabama,119.2008892622124,164.0,1864412.0
38,ENPRP,AL,2015,0.0,Alabama,119.2008892622124,164.0,1864412.0
39,GETCB,AL,2015,141.0,Alabama,119.2008892622124,164.0,1864412.0
40,HYTCB,AL,2015,91902.0,Alabama,119.2008892622124,164.0,1864412.0
41,NCPRB,AL,2015,92144.0,Alabama,119.2008892622124,164.0,1864412.0
42,NGMPB,AL,2015,182481.0,Alabama,119.2008892622124,164.0,1864412.0
43,NGMPK,AL,2015,1.085,Alabama,119.2008892622124,164.0,1864412.0
44,NGMPP,AL,2015,168246.0,Alabama,119.2008892622124,164.0,1864412.0
45,NUETB,AL,2015,438728.0,Alabama,119.2008892622124,164.0,1864412.0
46,PAPRB,AL,2015,55421.0,Alabama,119.2008892622124,164.0,1864412.0
47,PAPRP,AL,2015,9694.0,Alabama,119.2008892622124,164.0,1864412.0
48,REPRB,AL,2015,258955.0,Alabama,119.2008892622124,164.0,1864412.0
49,SOTCB,AL,2015,101.0,Alabama,119.2008892622124,164.0,1864412.0
50,TEPRB,AL,2015,1267004.0,Alabama,119.2008892622124,164.0,1864412.0
51,TETCB,AL,2015,1917138.0,Alabama,119.2008892622124,164.0,1864412.0
